RowId , Time  , TimeInterval  , FEBF:904  , FEBF:905  , FEBF:906  , FEBF:907  , FEBF:908  , FEBF:909  , FEBF:910  , Difference  , Label 
3242,1543528069.000555,0.0999901294708252,27.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09999261315591473,-1.0
3243,1543528069.100434,0.09987902641296387,27.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21244312712133334,-1.0
3244,1543528069.200656,0.10022187232971191,27.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11811346763428676,-1.0
3245,1543528069.301432,0.10077595710754395,27.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1185847820796689,-1.0
3246,1543528069.401417,0.09998512268066406,27.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11791480049831819,-1.0
3247,1543528069.501483,0.10006594657897949,27.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2692827513920075,-1.0
3248,1543528069.601587,0.10010409355163574,27.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2692969197762688,-1.0
3249,1543528069.701752,0.10016489028930664,27.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16018117536999205,-1.0
3250,1543528069.802423,0.10067105293273926,27.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11849543071025143,-1.0
3251,1543528069.902421,0.09999799728393555,27.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38810443499746866,-1.0
3252,1543528070.002552,0.10013103485107422,27.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26930696582030944,-1.0
3253,1543528070.102807,0.10025501251220703,27.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26935308222532606,-1.0
3254,1543528070.20304,0.10023283958435059,27.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16022366436572621,-1.0
3255,1543528070.303236,0.10019612312316895,27.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32816994749216716,-1.0
3256,1543528070.40347,0.1002340316772461,27.3125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5713607551655379,-1.0
3257,1543528070.503723,0.10025286674499512,27.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21261911401694233,-1.0
3258,1543528070.60396,0.10023713111877441,27.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10023713235389521,-1.0
3259,1543528070.704175,0.10021495819091797,27.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26933814868459716,-1.0
3260,1543528070.804416,0.10024094581604004,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2693478195446381,-1.0
3261,1543528070.904647,0.10023117065429688,28.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21260888426000588,-1.0
