RowId , Time  , TimeInterval  , FEF1:69  , FEF1:70  , FEF1:1633  , FEF1:3807  , FEF1:84  , FEF1:595  , FEF1:596  , FEF1:597  , FEF1:598  , FEF1:599  , FEF1:600  , FEF1:601  , FEF1:602  , FEF1:86  , FEF1:976  , FEF1:527  , FEF1:968  , FEF1:967  , FEF1:966  , FEF1:1237  , Difference  , Label 
4515,1543528227.691037,0.09999799728393555,3.0,3.0,0.0,3.0,38.5859,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10478210506989986,-1.0
4516,1543528227.791986,0.10094904899597168,3.0,3.0,0.0,3.0,38.4062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.20611575629376683,-1.0
4517,1543528227.891028,0.09904193878173828,3.0,3.0,0.0,3.0,38.2109,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.21898637561961082,-1.0
4518,1543528227.991034,0.100006103515625,3.0,3.0,0.0,3.0,38.0547,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.18547396139084774,-1.0
4519,1543528228.091061,0.10002708435058594,3.0,3.0,0.0,3.0,37.9062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1790465527282618,-1.0
4520,1543528228.191072,0.10001087188720703,3.0,3.0,0.0,3.0,37.7422,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.19208897615033454,-1.0
4521,1543528228.291049,0.09997701644897461,3.0,3.0,0.0,3.0,37.6094,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.16622648695147288,-1.0
4522,1543528228.391044,0.09999489784240723,3.0,3.0,0.0,3.0,37.4297,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.20564792708476085,-1.0
4523,1543528228.491049,0.1000051498413086,3.0,3.0,0.0,3.0,37.2969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.16624340618468153,-1.0
4524,1543528228.591048,0.09999895095825195,3.0,3.0,0.0,3.0,37.1484,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.17903083597854474,-1.0
4525,1543528228.691047,0.09999895095825195,3.0,3.0,0.0,3.0,37.0391,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.14814276962697806,-1.0
4526,1543528228.791984,0.1009371280670166,3.0,3.0,0.0,3.0,36.7891,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.269609317344013,-1.0
4527,1543528228.891039,0.09905481338500977,3.0,3.0,0.0,3.0,36.6562,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.16576431812456213,-1.0
4528,1543528228.991982,0.10094308853149414,3.0,3.0,0.0,3.0,36.4062,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0357089710460685,-1.0
4529,1543528229.091967,0.09998512268066406,3.0,3.0,0.0,3.0,36.2891,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.15398166272656935,-1.0
4530,1543528229.191024,0.09905695915222168,3.0,3.0,0.0,3.0,36.1953,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.13642427439432991,-1.0
4531,1543528229.291026,0.10000205039978027,3.0,3.0,0.0,3.0,36.0312,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.192172092879346,-1.0
4532,1543528229.391018,0.0999917984008789,3.0,3.0,0.0,3.0,35.9219,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1481379419748531,-1.0
4533,1543528229.491017,0.09999918937683105,3.0,3.0,0.0,3.0,35.7109,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.23349697627731547,-1.0
4534,1543528229.591016,0.09999895095825195,3.0,3.0,0.0,3.0,35.6641,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11040846975122948,-1.0
4535,1543528229.691019,0.10000300407409668,3.0,3.0,0.0,3.0,35.4688,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.21941442714705428,-1.0
4536,1543528229.791954,0.10093498229980469,3.0,3.0,0.0,3.0,35.3125,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.18606028387400572,-1.0
4537,1543528229.891013,0.09905886650085449,3.0,3.0,0.0,3.0,35.1719,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.17200156639671904,-1.0
4538,1543528229.991957,0.10094404220581055,3.0,3.0,0.0,3.0,34.9922,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.20611973108921047,-1.0
